t_lo,t_hi,delta,pair_Q_lowerbound,threshold_L2d2_over_8,certified_margin
60.0625,60.21875,0.15625,2.305400e+00,4.238859e-02,2.263011e+00
60.21875,60.375,0.15625,2.308913e+00,4.238859e-02,2.266524e+00
60.375,60.53125,0.15625,2.318555e+00,4.238859e-02,2.276167e+00
60.53125,60.6875,0.15625,2.290432e+00,4.238859e-02,2.248043e+00
60.6875,60.84375,0.15625,2.212587e+00,4.238859e-02,2.170199e+00
60.84375,61,0.15625,2.074324e+00,4.238859e-02,2.031936e+00
61,61.15625,0.15625,1.875895e+00,4.238859e-02,1.833506e+00
61.15625,61.3125,0.15625,1.629326e+00,4.238859e-02,1.586937e+00
61.3125,61.46875,0.15625,1.355146e+00,4.238859e-02,1.312757e+00
61.46875,61.625,0.15625,1.077185e+00,4.238859e-02,1.034796e+00
61.625,61.78125,0.15625,8.172801e-01,4.238859e-02,7.748915e-01
61.78125,61.9375,0.15625,5.914197e-01,4.238859e-02,5.490311e-01
61.9375,62.09375,0.15625,4.080664e-01,4.238859e-02,3.656778e-01
62.09375,62.25,0.15625,2.685897e-01,4.238859e-02,2.262011e-01
62.25,62.40625,0.15625,1.691363e-01,4.238859e-02,1.267478e-01
62.40625,62.5625,0.15625,1.030813e-01,4.238859e-02,6.069272e-02
62.5625,62.71875,0.15625,6.334009e-02,4.238859e-02,2.095150e-02
62.71875,62.875,0.15625,4.413735e-02,4.238859e-02,1.748762e-03
63.1875,63.34375,0.15625,5.692634e-02,4.238859e-02,1.453775e-02
63.34375,63.5,0.15625,9.117766e-02,4.238859e-02,4.878907e-02
63.5,63.65625,0.15625,1.501112e-01,4.238859e-02,1.077227e-01
63.65625,63.8125,0.15625,2.405598e-01,4.238859e-02,1.981712e-01
63.8125,63.96875,0.15625,3.693042e-01,4.238859e-02,3.269156e-01
63.96875,64.125,0.15625,5.407933e-01,4.238859e-02,4.984047e-01
64.125,64.28125,0.15625,7.545476e-01,4.238859e-02,7.121590e-01
64.28125,64.4375,0.15625,1.002891e+00,4.238859e-02,9.605027e-01
64.4375,64.59375,0.15625,1.269874e+00,4.238859e-02,1.227485e+00
64.59375,64.75,0.15625,1.532186e+00,4.238859e-02,1.489797e+00
64.75,64.90625,0.15625,1.762435e+00,4.238859e-02,1.720047e+00
64.90625,65.0625,0.15625,1.934408e+00,4.238859e-02,1.892020e+00
65.0625,65.21875,0.15625,2.029152e+00,4.238859e-02,1.986764e+00
65.21875,65.375,0.15625,1.976203e+00,4.238859e-02,1.933814e+00
65.375,65.53125,0.15625,1.860162e+00,4.238859e-02,1.817774e+00
65.53125,65.6875,0.15625,1.724838e+00,4.238859e-02,1.682449e+00
65.6875,65.84375,0.15625,1.605726e+00,4.238859e-02,1.563338e+00
65.84375,66,0.15625,1.533109e+00,4.238859e-02,1.490721e+00
66,66.15625,0.15625,1.525193e+00,4.238859e-02,1.482805e+00
66.15625,66.3125,0.15625,1.525193e+00,4.238859e-02,1.482805e+00
66.3125,66.46875,0.15625,1.583971e+00,4.238859e-02,1.541583e+00
66.46875,66.625,0.15625,1.694784e+00,4.238859e-02,1.652395e+00
66.625,66.78125,0.15625,1.829692e+00,4.238859e-02,1.787303e+00
66.78125,66.9375,0.15625,1.953888e+00,4.238859e-02,1.911500e+00
66.9375,67.09375,0.15625,2.033653e+00,4.238859e-02,1.991265e+00
67.09375,67.25,0.15625,1.973881e+00,4.238859e-02,1.931492e+00
67.25,67.40625,0.15625,1.828706e+00,4.238859e-02,1.786317e+00
67.40625,67.5625,0.15625,1.628312e+00,4.238859e-02,1.585924e+00
67.5625,67.71875,0.15625,1.402715e+00,4.238859e-02,1.360326e+00
67.71875,67.875,0.15625,1.186066e+00,4.238859e-02,1.143677e+00
67.875,68.03125,0.15625,1.010661e+00,4.238859e-02,9.682721e-01
68.03125,68.1875,0.15625,9.020382e-01,4.238859e-02,8.596496e-01
68.1875,68.34375,0.15625,8.756772e-01,4.238859e-02,8.332886e-01
68.34375,68.5,0.15625,8.756772e-01,4.238859e-02,8.332886e-01
68.5,68.65625,0.15625,9.352438e-01,4.238859e-02,8.928552e-01
68.65625,68.8125,0.15625,1.072174e+00,4.238859e-02,1.029785e+00
68.8125,68.96875,0.15625,1.266507e+00,4.238859e-02,1.224118e+00
68.96875,69.125,0.15625,1.489104e+00,4.238859e-02,1.446715e+00
69.125,69.28125,0.15625,1.705433e+00,4.238859e-02,1.663045e+00
69.28125,69.4375,0.15625,1.880769e+00,4.238859e-02,1.838380e+00
69.4375,69.59375,0.15625,1.986098e+00,4.238859e-02,1.943710e+00
69.59375,69.75,0.15625,1.929692e+00,4.238859e-02,1.887303e+00
69.75,69.90625,0.15625,1.776502e+00,4.238859e-02,1.734113e+00
69.90625,70.0625,0.15625,1.568543e+00,4.238859e-02,1.526154e+00
70.0625,70.21875,0.15625,1.338378e+00,4.238859e-02,1.295990e+00
70.21875,70.375,0.15625,1.120766e+00,4.238859e-02,1.078377e+00
70.375,70.53125,0.15625,9.472469e-01,4.238859e-02,9.048584e-01
70.53125,70.6875,0.15625,8.420115e-01,4.238859e-02,7.996229e-01
70.6875,70.84375,0.15625,8.192988e-01,4.238859e-02,7.769102e-01
70.84375,71,0.15625,8.192988e-01,4.238859e-02,7.769102e-01
71,71.15625,0.15625,8.821366e-01,4.238859e-02,8.397480e-01
71.15625,71.3125,0.15625,1.022097e+00,4.238859e-02,9.797086e-01
71.3125,71.46875,0.15625,1.219985e+00,4.238859e-02,1.177597e+00
71.46875,71.625,0.15625,1.447676e+00,4.238859e-02,1.405288e+00
71.625,71.78125,0.15625,1.671410e+00,4.238859e-02,1.629021e+00
71.78125,71.9375,0.15625,1.856551e+00,4.238859e-02,1.814163e+00
71.9375,72.09375,0.15625,1.973221e+00,4.238859e-02,1.930833e+00
72.09375,72.25,0.15625,1.935579e+00,4.238859e-02,1.893190e+00
72.25,72.40625,0.15625,1.783345e+00,4.238859e-02,1.740956e+00
72.40625,72.5625,0.15625,1.565151e+00,4.238859e-02,1.522762e+00
72.5625,72.71875,0.15625,1.308437e+00,4.238859e-02,1.266048e+00
72.71875,72.875,0.15625,1.042052e+00,4.238859e-02,9.996637e-01
72.875,73.03125,0.15625,7.910917e-01,4.238859e-02,7.487031e-01
73.03125,73.1875,0.15625,5.735865e-01,4.238859e-02,5.311979e-01
73.1875,73.34375,0.15625,3.995581e-01,4.238859e-02,3.571695e-01
73.34375,73.5,0.15625,2.721678e-01,4.238859e-02,2.297792e-01
73.5,73.65625,0.15625,1.901853e-01,4.238859e-02,1.477967e-01
73.65625,73.8125,0.15625,1.508210e-01,4.238859e-02,1.084324e-01
73.8125,73.96875,0.15625,1.508210e-01,4.238859e-02,1.084324e-01
73.96875,74.125,0.15625,1.520845e-01,4.238859e-02,1.096959e-01
74.125,74.28125,0.15625,1.940943e-01,4.238859e-02,1.517057e-01
74.28125,74.4375,0.15625,2.790694e-01,4.238859e-02,2.366808e-01
74.4375,74.59375,0.15625,4.100250e-01,4.238859e-02,3.676364e-01
74.59375,74.75,0.15625,5.884863e-01,4.238859e-02,5.460977e-01
74.75,74.90625,0.15625,8.118356e-01,4.238859e-02,7.694470e-01
